原省份,原始分,百分位(%),对应山西分,Delta
河北2025历史,607,6.981870876240983,592.915778567829,-14.084221432171034
河北2025历史,602,8.50496392674354,587.3470150415794,-14.652984958420575
河北2025历史,597,10.28550286736141,581.4008529954691,-15.599147004530892
河北2025历史,592,12.210951470678918,575.9491779229246,-16.050822077075395
河北2025历史,587,14.290559289634333,570.1584195937091,-16.84158040629086
河北2025历史,582,16.49349448110008,564.6535157985527,-17.34648420144731
河北2025历史,577,18.861380033298392,558.9770240620743,-18.022975937925708
河北2025历史,572,21.465129185422704,553.7905618168346,-18.20943818316539
河北2025历史,567,24.167540235555283,548.6174630192546,-18.382536980745385
河北2025历史,562,27.132021952272307,543.1038445563181,-18.89615544368189
河北2025历史,557,30.181291237590184,537.9961918638156,-19.003808136184375
河北2025历史,552,33.358512671887524,532.5960776004905,-19.403922399509497
河北2025历史,547,36.92729851390516,527.1270121178212,-19.87298788217879
河北2025历史,542,40.59012147746192,521.8185808036445,-20.181419196355478
河北2025历史,537,44.214404637109205,516.5797507719819,-20.420249228018065
河北2025历史,532,48.24258494172782,511.0646253151404,-20.935374684859596
河北2025历史,527,52.29851390516125,505.4718718768215,-21.528128123178476
河北2025历史,522,56.507060492076214,499.97531239430754,-22.024687605692463
河北2025历史,517,60.85589196522167,494.44565952088305,-22.554340479116945
河北2025历史,512,65.35117469322316,488.9499565854317,-23.05004341456828
河北2025历史,507,70.00215822901893,483.0292467337018,-23.970753266298175
河北2025历史,502,74.73947092557192,477.0191891370593,-24.9808108629407
河北2025历史,497,79.6633162730468,470.384966393291,-26.615033606709005
河北2025历史,492,84.52241474995375,464.3043586918456,-27.695641308154393
河北2025历史,487,89.63125115619411,457.44696910241623,-29.553030897583767
河北2025历史,482,94.81100080162793,450.2102407847445,-31.789759215255515
河北2025历史,477,100.0,443.0,-34.0
浙江2025,693,0.1860369253465819,654.4234717491448,-38.576528250855176
浙江2025,688,0.3617685982687176,647.2796526858742,-40.720347314125775
浙江2025,683,0.6660447356431562,640.3790172405065,-42.62098275949347
浙江2025,678,1.048966220467316,632.533923017299,-45.466076982701
浙江2025,673,1.6103312867463606,625.7254363073414,-47.2745636926586
